,OPID,WoPC,Average_NO2,current_no2_y
460,59244219412,1075,27.216303911226095,40.130498545
462,58934186738,1102,26.41888077862006,15.18854339
463,58965177097,1102,26.41888077862006,53.75297719
464,58934189280,1019,33.355990310633395,35.80017384
465,58937619089,1019,33.355990310633395,30.887288835
467,58937634217,1019,33.355990310633395,40.25547441
468,58999625816,1019,33.355990310633395,32.97503268
470,58999652290,1019,33.355990310633395,27.878865747250003
474,59030601543,1019,33.355990310633395,27.817596397499997
478,59089188102,1019,33.355990310633395,29.963220265
480,59092603806,1019,33.355990310633395,22.33349125
481,59123659575,1019,33.355990310633395,37.3743581
482,59151191605,1019,33.355990310633395,17.584963334999998
484,59151192411,1019,33.355990310633395,28.996363536666667
487,59182188722,1019,33.355990310633395,34.581024240000005
489,59213187203,1019,33.355990310633395,33.1115816
491,59275217707,1019,33.355990310633395,25.9714655
492,59275226325,1019,33.355990310633395,38.55712421
493,58934189869,1025,24.12998176596526,33.56214001
494,59058186397,1025,24.12998176596526,27.587122725
496,59092598226,1025,24.12998176596526,26.40800362666667
499,59120192752,1025,24.12998176596526,26.53628186
500,59213189156,1025,24.12998176596526,25.17509527
501,58934191698,1072,29.47638734344564,17.924139635
503,59027180724,1072,29.47638734344564,29.8220566825
507,59058187017,1072,29.47638734344564,22.186229755
509,59123659451,1072,29.47638734344564,22.65602903
511,59151194302,1072,29.47638734344564,30.577995129999998
513,59151194612,1072,29.47638734344564,17.59733624
515,59182195542,1072,29.47638734344564,30.8650959475
519,59185625692,1072,29.47638734344564,36.24896944
520,59213189218,1072,29.47638734344564,39.10006413
522,59213193775,1072,29.47638734344564,18.65138028
523,59247805616,1072,29.47638734344564,19.21562157
525,58934192163,1066,27.240886706017587,22.69096661
526,59089178368,1066,27.240886706017587,20.26195448
529,59120189125,1066,27.240886706017587,33.05877806
532,59120192163,1066,27.240886706017587,23.43223817
533,59151184692,1066,27.240886706017587,28.0074814
535,59154696589,1066,27.240886706017587,26.09490867
536,58934194984,1076,35.39856928664374,25.08957205
537,59027187885,1076,35.39856928664374,32.77911968
538,59061637596,1076,35.39856928664374,29.81942135
539,59151188722,1076,35.39856928664374,34.58479865
541,59182194364,1076,35.39856928664374,27.961746085
543,58937619740,1065,21.834947770637218,28.345449255
545,58999635922,1065,21.834947770637218,34.3206582
547,59151187637,1065,21.834947770637218,23.82641699
549,58937620360,1063,29.942128081472077,41.25936859
550,58968581331,1063,29.942128081472077,27.076278485000003
552,58999632791,1063,29.942128081472077,28.25388444
553,59027186459,1063,29.942128081472077,26.28412312
554,59151184165,1063,29.942128081472077,38.006961995
556,59185624607,1063,29.942128081472077,32.698794805
560,59244215413,1063,29.942128081472077,28.619350330000003
562,58937623212,1055,36.269602102152355,39.38557375
563,58996189683,1055,36.269602102152355,39.959234785
565,58999643982,1055,36.269602102152355,24.13480909
566,59030600954,1055,36.269602102152355,30.65922693
567,59058187110,1055,36.269602102152355,42.82643297
568,59058187327,1055,36.269602102152355,30.670082455
570,59092590414,1055,36.269602102152355,31.63196938
572,59092601016,1055,36.269602102152355,38.067971955
576,59120184723,1055,36.269602102152355,33.07000144
578,59154696961,1055,36.269602102152355,38.47530789
579,59216682236,1055,36.269602102152355,34.36257587
580,59247826386,1055,36.269602102152355,35.78544529
582,58937626684,1051,29.948030667334166,30.3583723125
586,58937636511,1051,29.948030667334166,21.89981141
587,58996180662,1051,29.948030667334166,28.48130965333333
590,58996181499,1051,29.948030667334166,35.1144918
591,59027188288,1051,29.948030667334166,26.92885258
592,59058190086,1051,29.948030667334166,33.460752735
594,59061621104,1051,29.948030667334166,45.76283267
595,59092593483,1051,29.948030667334166,30.45272681
597,59120192969,1051,29.948030667334166,35.79040189
598,59123644509,1051,29.948030667334166,31.564446246666666
601,59123665031,1051,29.948030667334166,37.23331806
602,59151196348,1051,29.948030667334166,30.354724016666665
605,59216660536,1051,29.948030667334166,28.675299159999998
608,58965172974,1034,23.16527191856436,27.46908539
609,59030597482,1034,23.16527191856436,23.51633948
610,58965177624,1064,24.724360556830586,6.065717574
611,59089184971,1064,24.724360556830586,32.403727169999996
615,59120186800,1064,24.724360556830586,19.52400615
616,59182195759,1064,24.724360556830586,21.77879124
617,58965179019,1023,21.479099541631456,24.96614375
620,58996190892,1023,21.479099541631456,28.046757605
622,58996192690,1023,21.479099541631456,23.865384749999997
624,59058191047,1023,21.479099541631456,21.66233682
